date,state,checkins,unique_ind,unique_loc
2020-12-01,Johor,1996696,868521,81635
2020-12-01,Kedah,654634,341620,32760
2020-12-01,Kelantan,186507,108035,16298
2020-12-01,Melaka,544619,241854,21458
2020-12-01,Negeri Sembilan,559390,266899,22749
2020-12-01,Pahang,628093,277410,26868
2020-12-01,Perak,1073601,477057,49739
2020-12-01,Perlis,149180,96122,7814
2020-12-01,Pulau Pinang,1192308,534058,43889
2020-12-01,Sabah,740636,308227,31463
2020-12-01,Sarawak,1287449,490577,37417
2020-12-01,Selangor,3926511,1888361,124858
2020-12-01,Terengganu,232768,125760,14836
2020-12-01,W.P. KualaLumpur,3426041,1538584,86205
2020-12-01,W.P. Labuan,53217,22809,1784
2020-12-01,W.P. Putrajaya,177083,104171,2334
2020-12-02,Johor,1975256,864635,83484
2020-12-02,Kedah,688360,353075,34460
2020-12-02,Kelantan,201342,113792,17147
2020-12-02,Melaka,545887,242475,21881
2020-12-02,Negeri Sembilan,561590,268039,23278
2020-12-02,Pahang,630934,278719,27562
2020-12-02,Perak,1085104,480864,50358
2020-12-02,Perlis,158866,99727,8259
2020-12-02,Pulau Pinang,1204862,537274,45164
2020-12-02,Sabah,758731,312903,32825
2020-12-02,Sarawak,1324152,500135,38035
2020-12-02,Selangor,3974328,1903749,129248
2020-12-02,Terengganu,217523,119675,14721
2020-12-02,W.P. KualaLumpur,3455908,1544722,89499
2020-12-02,W.P. Labuan,53562,22838,1787
2020-12-02,W.P. Putrajaya,177019,104352,2420
2020-12-03,Johor,1870470,841031,83370
2020-12-03,Kedah,674565,348146,34481
2020-12-03,Kelantan,164364,97043,15023
2020-12-03,Melaka,527563,237907,22072
2020-12-03,Negeri Sembilan,534832,262182,23168
2020-12-03,Pahang,627312,279800,27556
2020-12-03,Perak,1063208,478124,50521
2020-12-03,Perlis,158714,100259,8228
2020-12-03,Pulau Pinang,1129316,521393,44934
2020-12-03,Sabah,743625,310332,32972
2020-12-03,Sarawak,1274706,492475,37813
2020-12-03,Selangor,3876525,1880515,130314
2020-12-03,Terengganu,168587,99458,12130
2020-12-03,W.P. KualaLumpur,3373169,1526686,90411
2020-12-03,W.P. Labuan,52735,22721,1772
2020-12-03,W.P. Putrajaya,173618,101719,2418
2020-12-04,Johor,2031469,883179,80241
2020-12-04,Kedah,674162,343898,25462
2020-12-04,Kelantan,164019,98726,9428
2020-12-04,Melaka,582972,256683,21979
2020-12-04,Negeri Sembilan,594932,284372,23308
2020-12-04,Pahang,677057,296630,26916
2020-12-04,Perak,1059563,483833,49578
2020-12-04,Perlis,169860,105729,8017
2020-12-04,Pulau Pinang,1236718,550869,45157
2020-12-04,Sabah,769607,317892,32980
2020-12-04,Sarawak,1350621,509621,38195
2020-12-04,Selangor,4187530,1983724,130590
2020-12-04,Terengganu,189604,109294,7526
2020-12-04,W.P. KualaLumpur,3718459,1627479,91031
2020-12-04,W.P. Labuan,52603,22944,1774
2020-12-04,W.P. Putrajaya,200829,113996,2423
