date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
2020-01-25,4,4,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
2020-01-26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-01-27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-01-28,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-01-29,3,3,0,7,0,3,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,,,,,,,
2020-01-30,1,1,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
2020-01-31,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-02,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-03,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-04,2,2,0,10,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,,,,,,,
2020-02-05,2,2,1,11,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,,,,
2020-02-06,2,1,0,13,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,,,,,,,
2020-02-07,1,1,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,
2020-02-08,1,1,1,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,
2020-02-09,1,0,1,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,
2020-02-10,1,1,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
2020-02-11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2020-02-14,1,1,4,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
